Rank,Artist,Title,Genre
144,Lucenzo Feat. Don Omar,Danza Kuduro,
145,The Black Keys,Wild Child,
146,Steve Horner,Sign of the Times (Stripped),
147,Nicki Minaj Feat. Fivio Foreign,We Go Up,
148,The Killers,Mr. Brightside,
149,Midnite String Quartet,Wrecking Ball,
150,JID Feat. 21 Savage & Baby Tate,Surround Sound,
151,Lit,My Own Worst Enemy,
152,Journey,Don't Stop Believin',
153,The Weeknd,Save Your Tears,
154,SAINt JHN,Roses (Imanbek Remix),
155,Home Free,Sea Shanty Medley,
156,Dave,Starlight,
157,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home),
158,Tyga & Doja Cat,Freaky Deaky,
159,Nelly Furtado,Say It Right,
160,Labi Siffre,I Got The.,
161,Becky G. & KAROL G,MAMIII,
162,Insane Clown Posse,Boogie Woogie Wu,
163,Black Sabbath,War Pigs,
164,Tones And I,Dance Monkey,
165,"Fivio Foreign, Kanye West & Alicia Keys",City of Gods,
166,Lil Tjay,In My Head,
167,Leah Kate,10 Things I Hate About You,
168,Dxrk ダーク,RAVE,
169,Daft Punk Feat. Pharrell Williams,Get Lucky,
170,The Beatnuts Feat. Method Man,Se Acabo Remix (Explicit),
171,Riton & Nightcrawlers Feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),
172,Dax,Dear Alcohol,
173,Weezer,A Little Bit of Love,
174,Zion & Lennox Feat. Daddy Yankee,Yo Voy,
175,J.J. Pfeifer Feat. Grace Meredith,"In Between (from the In Between"")""",
176,Dua Lipa Feat. DaBaby,Levitating,
177,Sofi Tukker,Original Sin,
178,Leonard Cohen,Avalanche,
179,Olivia Rodrigo,good 4 u,
180,Coolio Feat. L.V.,Gangsta's Paradise,
181,Benson Boone,In The Stars,
182,The Weeknd,Blinding Lights,
183,CKay Feat. Axel & Dj Yo!,love nwantiti [Remix],
184,Imagine Dragons,Bones,
185,Justin Wellington Feat. Small Jam,Iko Iko,
186,Pharrell Williams,Just A Cloud Away,
187,Passenger,Let Her Go,
188,The Platters,My Prayer,
189,Juice Newton,Angel Of The Morning,
190,Fivio Foreign & Queen Naija Feat. Coi Leray,What's My Name,
191,The Outfield,Your Love,
192,Usher Feat. Lil' Jon & Ludacris,Yeah!,
193,Maroon 5 Feat. Wiz Khalifa,Payphone,
194,Fleetwood Mac,Dreams,
195,Three Days Grace,So Called Life,
196,Miley Cyrus,Malibu,
197,"Issam Alnajjar, Loud Luxury & Ali Gatie",Turning Me Up (Hadal Ahbek),
198,Aaron Smith Feat. Luvli,Dancin (Krono Remix),
199,Eminem,Lose Yourself,
200,FouKi Feat. Jay Scøtt,Copilote,
