Rank,Artist,Title,Genre
142,Rauw Alejandro & Chencho Corleone,Desesperados,
143,Morgan Wallen,Sand In My Boots,
144,Eden Muñoz,Chale,
145,YLL GRYM,I Will Be One of the Greatest,
146,HARDY,GIVE HEAVEN SOME HELL,
147,Morgan Wallen,Don't Think Jesus,
148,Doja Cat Feat. SZA,Kiss Me More,
149,Bauhaus,Bela Lugosi's Dead,
150,Lil Durk,AHHH HA,
151,Daft Punk Feat. Pharrell Williams,Get Lucky,
152,CKay,Love Nwantiti (Ah Ah Ah),
153,Danzig,Mother,
154,Diplo & Miguel,Don’t Forget My Love,
155,"Blessd, Justin Quiles & Lenny Tavárez",Medallo,
156,The Killers,Mr. Brightside,
157,Russ Feat. Ktlyn,HANDSOMER (Extended Remix),
158,"Dreamville, J. Cole & Lute Feat. DaBaby",Under The Sun,
159,Drake Feat. 21 Savage & Project Pat,Knife Talk [Mixed],
160,Walker Hayes,Fancy Like,
161,Latto Feat. Lil Wayne & Childish Gambino,Sunshine,
162,Snoh Aalegra,IN YOUR EYES,
163,Scotty McCreery,Damn Strait,
164,Ed Sheeran,2step,
165,Timbaland Feat. Keri Hilson & D.O.E.,The Way I Are,
166,Fleetwood Mac,Dreams,
167,The Hollies,Long Cool Woman (In A Black Dress),
168,"Mohead Mike, Moneybagg Yo & Big Boogie",PTPOM 2.0,
169,Adele,Easy On Me,
170,BoyWithUke,Toxic,
171,"Yung Bleu, Chris Brown & 2 Chainz",Baddest,
172,The Weeknd,Blinding Lights,
173,Bailey Zimmerman,Fall In Love,
174,Tim McGraw,7500 OBO,
175,Bad Bunny & Jhay Cortez,DÁKITI,
176,Dxrk ダーク,RAVE,
177,Olivia Rodrigo,good 4 u,
178,Billie Eilish,Happier Than Ever,
179,Jason Aldean,Trouble With A Heartbreak,
180,Usher Feat. Lil' Jon & Ludacris,Yeah!,
181,Lauv,All 4 Nothing (I'm So In Love),
