,Artist,Title,Genre
106,Scotty McCreery,Damn Strait,Country
107,Ed Sheeran,2step,Pop
108,Timbaland Feat. Keri Hilson & D.O.E.,The Way I Are,Hip-Hop Rap
109,Fleetwood Mac,Dreams,Pop
110,"Mohead Mike, Moneybagg Yo & Big Boogie",PTPOM 2.0,Hip-Hop Rap
111,Adele,Easy On Me,Pop
112,BoyWithUke,Toxic,Pop
113,Bailey Zimmerman,Fall In Love,Country
114,Tim McGraw,7500 OBO,Country
115,Olivia Rodrigo,good 4 u,Pop
116,Jason Aldean,Trouble With A Heartbreak,Country
117,Usher Feat. Lil' Jon & Ludacris,Yeah!,Pop
118,Lauv,All 4 Nothing (I'm So In Love),Pop
119,Dustin Lynch Feat. MacKenzie Porter,Thinking 'Bout You,Country
120,Meek Mill,Dreams And Nightmares,Hip-Hop Rap
121,Russ Feat. Ktlyn,HANDSOMER (Remix),Hip-Hop Rap
122,Nelly Furtado,Say It Right,Pop
123,The Outfield,Your Love,Pop
124,Lil Durk Feat. Morgan Wallen,Broadway Girls,Hip-Hop Rap
125,S1mba Feat. DTG,Rover,Hip-Hop Rap
126,Lauren Spencer-Smith,Flowers,Pop
127,DJ KABOO,Enta,Hip-Hop Rap
